"Day","Month","Year","Country.Region","Province","Type"
18,"marzo",2020,"Canada","Yukon","Partial"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
26,"marzo",2020,"Chile","","Full"
23,"enero",2020,"China","Anhui","Full"
23,"enero",2020,"China","Beijing","Full"
23,"enero",2020,"China","Chongqing","Full"
23,"enero",2020,"China","Fujian","Full"
23,"enero",2020,"China","Gansu","Full"
23,"enero",2020,"China","Guangdong","Full"
23,"enero",2020,"China","Guangxi","Full"
23,"enero",2020,"China","Guizhou","Full"
23,"enero",2020,"China","Hainan","Full"
23,"enero",2020,"China","Hebei","Full"
23,"enero",2020,"China","Heilongjiang","Full"
23,"enero",2020,"China","Henan","Full"
23,"marzo",2020,"China","Hong Kong","Full"
23,"enero",2020,"China","Hubei","Full"
23,"enero",2020,"China","Hunan","Full"
23,"enero",2020,"China","Inner Mongolia","Full"
23,"enero",2020,"China","Jiangsu","Full"
23,"enero",2020,"China","Jiangxi","Full"
23,"enero",2020,"China","Jilin","Full"
23,"enero",2020,"China","Liaoning","Full"
26,"enero",2020,"China","Macau","Full"
23,"enero",2020,"China","Ningxia","Full"
23,"enero",2020,"China","Qinghai","Full"
23,"enero",2020,"China","Shaanxi","Full"
23,"enero",2020,"China","Shandong","Full"
23,"enero",2020,"China","Shanghai","Full"
23,"enero",2020,"China","Shanxi","Full"
23,"enero",2020,"China","Sichuan","Full"
23,"enero",2020,"China","Tianjin","Full"
23,"enero",2020,"China","Tibet","Full"
23,"enero",2020,"China","Xinjiang","Full"
23,"enero",2020,"China","Yunnan","Full"
23,"enero",2020,"China","Zhejiang","Full"
25,"marzo",2020,"Colombia","","Full"
NA,NA,NA,NA,NA,NA
19,"marzo",2020,"Congo (Kinshasa)","","Full"
15,"marzo",2020,"Costa Rica","","Full"
29,"marzo",2020,"Cote dIvoire","","Full"
22,"marzo",2020,"Croatia","","Partial"
NA,NA,NA,NA,NA,NA
25,"marzo",2020,"Cyprus","","Full"
16,"marzo",2020,"Czechia","","Full"
12,"marzo",2020,"Denmark","Faroe Islands","Full"
11,"marzo",2020,"Denmark","","Full"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
17,"marzo",2020,"Dominican Republic","","Full"
24,"marzo",2020,"Ecuador","","Partial"
24,"marzo",2020,"Egypt","","Full"
11,"marzo",2020,"El Salvador","","Full"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
13,"marzo",2020,"Estonia","","Full"
NA,NA,NA,NA,NA,NA
16,"marzo",2020,"Ethiopia","","Full"
20,"marzo",2020,"Fiji","","Full"
27,"marzo",2020,"Finland","","Full"
NA,NA,NA,NA,NA,NA
27,"marzo",2020,"France","French Polynesia","Partial"
NA,NA,NA,NA,NA,NA
20,"marzo",2020,"France","Martinique","Partial"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
16,"marzo",2020,"France","","Full"
NA,NA,NA,NA,NA,NA
27,"marzo",2020,"Gambia","","Full"
22,"marzo",2020,"Georgia","","Partial"
20,"marzo",2020,"Germany","","Full"
15,"marzo",2020,"Ghana","","Full"
18,"marzo",2020,"Greece","","Full"
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
20,"marzo",2020,"Honduras","","Partial"
16,"marzo",2020,"Hungary","","Full"
16,"marzo",2020,"Iceland","","Full"
